Fecha,Video,Repeticion,Start_Frame,End_Frame,Profundidad,Torso,Estabilidad,Rodillas,Ritmo
2026-04-09 11:52:06,ejemplo15.mp4,1,0,21,6.53,5.15,7.60,7.45,8.47
2026-04-09 11:52:06,ejemplo15.mp4,2,40,68,7.46,5.92,8.06,7.60,7.78
2026-04-09 11:52:19,ejemplo9.mp4,1,0,51,7.46,6.35,6.58,3.99,4.37
2026-04-09 11:52:24,ejemplo8.mp4,1,0,26,7.97,8.09,9.02,9.10,7.42
2026-04-09 11:52:24,ejemplo8.mp4,2,58,128,8.03,8.45,9.11,9.21,8.02
2026-04-09 11:52:25,ejemplo12.mp4,1,0,61,4.39,3.60,7.01,6.33,8.34
2026-04-09 11:52:25,ejemplo12.mp4,2,100,129,6.75,7.15,8.63,7.46,8.46
2026-04-09 11:52:42,ejemplo2.mp4,1,0,65,6.80,6.35,8.38,7.07,8.14
2026-04-09 11:52:42,ejemplo2.mp4,2,108,218,6.53,6.36,8.25,7.45,7.82
2026-04-09 11:52:47,ejemplo1.mp4,1,0,49,6.42,5.56,8.20,6.14,5.71
2026-04-09 11:52:47,ejemplo1.mp4,2,106,133,5.36,6.97,8.76,7.96,6.15
2026-04-09 11:52:47,ejemplo1.mp4,3,146,242,6.14,5.88,8.35,7.52,6.96
2026-04-09 11:52:55,ejemplo5.mp4,1,0,52,8.19,8.37,9.20,9.24,8.08
2026-04-09 11:52:55,ejemplo5.mp4,2,77,134,8.23,8.68,9.22,9.29,8.19
2026-04-09 11:52:55,ejemplo5.mp4,3,162,219,8.25,8.75,9.25,9.30,8.20
2026-04-09 11:52:55,ejemplo5.mp4,4,242,299,8.28,8.74,9.24,9.28,8.13
2026-04-09 11:52:58,ejemplo10.mp4,1,125,207,7.71,7.76,8.30,7.21,4.84
2026-04-09 11:52:58,ejemplo10.mp4,2,234,306,7.72,8.20,8.70,7.11,5.43
2026-04-09 11:53:01,ejemplo16.mp4,1,0,75,7.03,7.07,8.32,7.86,6.67
2026-04-09 11:53:01,ejemplo16.mp4,2,115,212,6.97,6.49,8.26,7.85,6.85
2026-04-09 11:53:01,ejemplo16.mp4,3,252,344,7.15,6.69,8.43,7.88,6.98
2026-04-09 11:53:03,ejemplo6.mp4,1,11,67,6.36,5.94,6.47,7.14,5.58
2026-04-09 11:53:03,ejemplo6.mp4,2,223,300,5.20,4.49,7.64,5.90,7.79
2026-04-09 11:53:09,ejemplo7.mp4,1,0,50,7.37,4.94,6.52,4.95,5.37
2026-04-09 11:53:09,ejemplo7.mp4,2,88,160,7.93,6.07,7.46,6.30,5.79
2026-04-09 11:53:09,ejemplo7.mp4,3,200,269,7.62,6.42,7.85,7.00,6.54
2026-04-09 11:53:09,ejemplo7.mp4,4,312,420,7.48,5.88,7.62,6.38,5.37
2026-04-09 11:53:09,ejemplo13.mp4,1,0,39,7.60,5.87,7.66,6.43,6.36
2026-04-09 11:53:09,ejemplo13.mp4,2,76,140,7.44,5.31,8.09,6.34,5.93
2026-04-09 11:53:09,ejemplo13.mp4,3,178,244,7.93,6.07,7.92,6.09,6.13
2026-04-09 11:53:09,ejemplo13.mp4,4,277,337,8.14,6.66,8.03,7.05,7.16
2026-04-09 11:53:09,ejemplo13.mp4,5,369,435,8.16,6.56,8.02,6.99,6.86
2026-04-09 11:53:10,ejemplo11.mp4,1,0,169,5.86,6.05,6.71,5.79,6.54
2026-04-09 11:53:10,ejemplo11.mp4,2,219,314,6.31,7.25,7.38,4.83,6.32
2026-04-09 11:53:13,ejemplo4.mp4,1,0,47,6.56,6.99,8.16,8.25,7.02
2026-04-09 11:53:13,ejemplo4.mp4,2,71,114,6.44,7.07,8.18,7.85,6.39
2026-04-09 11:53:13,ejemplo4.mp4,3,137,178,6.41,7.22,8.28,7.77,6.18
2026-04-09 11:53:13,ejemplo4.mp4,4,201,240,6.39,7.27,8.29,7.81,6.17
2026-04-09 11:53:13,ejemplo4.mp4,5,260,296,6.29,7.16,8.31,7.68,5.90
2026-04-09 11:53:13,ejemplo4.mp4,6,316,352,6.71,7.86,8.72,8.06,6.31
2026-04-09 11:53:13,ejemplo4.mp4,7,372,411,6.83,7.90,8.71,8.22,6.49
2026-04-09 11:53:13,ejemplo4.mp4,8,430,467,6.40,7.46,8.43,7.90,6.04
2026-04-09 11:53:13,ejemplo4.mp4,9,486,526,6.97,7.40,8.40,7.98,6.57
2026-04-09 11:53:16,ejemplo14.mp4,1,0,38,7.21,5.02,6.89,5.46,5.45
2026-04-09 11:53:16,ejemplo14.mp4,2,65,109,6.93,4.71,7.00,5.36,5.88
2026-04-09 11:53:16,ejemplo14.mp4,3,136,183,7.15,5.03,7.04,5.43,5.70
2026-04-09 11:53:16,ejemplo14.mp4,4,208,250,6.99,4.92,6.97,5.23,5.48
2026-04-09 11:53:16,ejemplo14.mp4,5,274,317,7.10,4.93,7.01,5.16,5.43
2026-04-09 11:53:16,ejemplo14.mp4,6,342,384,7.02,4.95,7.00,5.22,5.51
2026-04-09 11:53:16,ejemplo14.mp4,7,410,453,7.16,4.91,7.09,5.28,5.57
2026-04-09 11:53:16,ejemplo14.mp4,8,480,531,7.29,5.23,7.31,5.70,5.38
2026-04-09 11:53:20,ejemplo3.mp4,1,0,53,6.60,6.13,7.95,7.64,7.16
2026-04-09 11:53:20,ejemplo3.mp4,2,96,172,6.25,6.10,7.96,7.81,6.78
2026-04-09 11:53:20,ejemplo3.mp4,3,210,280,6.06,6.08,7.98,7.84,6.64
2026-04-09 11:53:20,ejemplo3.mp4,4,317,386,6.03,6.20,8.00,7.97,6.61
2026-04-09 11:53:20,ejemplo3.mp4,5,421,491,6.01,6.14,8.01,7.84,6.62
2026-04-09 11:53:20,ejemplo3.mp4,6,528,596,5.88,6.13,7.97,7.93,6.55
2026-04-09 12:08:51,mio.mp4,1,0,63,4.91,3.07,6.14,4.26,5.96
2026-04-09 12:08:51,mio.mp4,2,113,165,5.38,3.02,5.91,3.89,5.36
2026-04-09 12:08:51,mio.mp4,3,212,336,4.57,3.63,5.68,4.26,6.94
2026-04-09 12:08:51,mio.mp4,4,402,595,5.59,4.80,6.28,4.83,6.63
2026-04-09 12:08:51,mio.mp4,5,639,703,4.45,2.82,5.61,3.75,5.76
2026-04-09 12:08:51,mio.mp4,6,745,812,4.47,2.61,5.63,3.87,5.49
2026-04-09 12:08:51,mio.mp4,7,842,934,4.18,2.88,5.64,3.62,6.33
2026-04-09 12:08:51,mio.mp4,8,988,1115,3.85,2.62,5.70,4.08,6.21
2026-04-09 12:08:51,mio.mp4,9,1164,1242,3.24,2.17,5.30,3.43,6.54
2026-04-09 12:08:51,mio.mp4,10,1294,1364,3.64,2.40,5.55,3.51,6.54
2026-04-09 12:08:51,mio.mp4,11,1408,1480,3.71,2.50,5.41,3.21,6.50
