Fecha,Video,Repeticion,Start_Frame,End_Frame,Profundidad,Torso,Estabilidad,Rodillas,Ritmo
2026-04-10 16:51:43,mio2.mp4,1,0,44,4.53,4.46,9.12,8.55,3.91
2026-04-10 16:51:43,mio2.mp4,2,77,127,4.25,3.95,9.49,8.86,4.88
2026-04-10 16:51:43,mio2.mp4,3,142,174,4.64,4.63,9.40,8.94,4.99
2026-04-10 16:51:43,mio2.mp4,4,193,224,5.00,5.09,9.48,9.09,5.79
2026-04-10 16:51:43,mio2.mp4,5,247,285,5.87,4.48,9.18,9.26,6.11
2026-04-10 16:51:43,mio2.mp4,6,308,342,5.59,4.98,8.81,8.55,4.68
2026-04-10 16:51:43,mio2.mp4,7,374,417,5.92,3.27,9.34,9.45,6.91
2026-04-10 16:51:43,mio2.mp4,8,436,468,5.42,4.60,8.75,8.89,4.66
2026-04-10 16:54:27,mio.mp4,1,0,81,5.79,3.03,8.10,7.23,4.30
2026-04-10 16:54:27,mio.mp4,2,118,174,6.37,5.19,8.82,9.14,5.59
2026-04-10 16:54:27,mio.mp4,3,218,335,7.68,5.35,8.61,7.95,5.95
2026-04-10 16:54:27,mio.mp4,4,395,597,6.54,3.83,7.37,5.52,4.50
2026-04-10 16:54:27,mio.mp4,5,642,712,7.67,4.85,8.21,8.30,6.21
2026-04-10 16:54:27,mio.mp4,6,747,812,7.91,5.76,7.99,8.06,5.50
2026-04-10 16:54:27,mio.mp4,7,855,937,7.21,4.25,8.12,8.31,6.96
2026-04-10 16:54:27,mio.mp4,8,984,1096,6.54,4.61,8.45,5.88,3.73
2026-04-10 16:54:27,mio.mp4,9,1170,1237,5.36,4.64,8.20,8.28,4.24
2026-04-10 16:54:27,mio.mp4,10,1302,1361,7.21,4.14,7.83,7.59,5.34
2026-04-10 16:54:27,mio.mp4,11,1404,1472,7.11,4.63,7.13,6.30,6.92
2026-04-10 16:57:27,ejemplo15.mp4,1,0,22,8.26,7.70,8.42,7.95,7.08
2026-04-10 16:57:27,ejemplo15.mp4,2,40,68,7.71,7.26,6.48,5.65,5.53
2026-04-10 16:57:31,ejemplo9.mp4,1,0,43,7.75,5.41,8.05,6.87,3.10
2026-04-10 16:57:44,ejemplo8.mp4,1,0,31,6.30,7.94,8.66,9.49,9.23
2026-04-10 16:57:44,ejemplo8.mp4,2,63,128,7.02,7.86,8.58,9.27,8.29
2026-04-10 16:58:01,ejemplo2.mp4,1,0,64,6.28,9.39,9.20,7.69,9.33
2026-04-10 16:58:01,ejemplo2.mp4,2,104,218,6.27,7.21,7.97,6.57,8.76
2026-04-10 16:58:03,ejemplo1.mp4,1,115,216,6.88,6.26,7.21,4.62,7.77
2026-04-10 16:58:27,ejemplo5.mp4,1,0,54,7.15,7.33,9.44,9.48,9.14
2026-04-10 16:58:27,ejemplo5.mp4,2,77,138,7.33,7.77,9.02,9.21,8.39
2026-04-10 16:58:27,ejemplo5.mp4,3,162,223,7.33,7.63,9.27,9.38,8.80
2026-04-10 16:58:27,ejemplo5.mp4,4,243,302,7.89,8.02,9.08,9.12,8.71
2026-04-10 16:58:32,ejemplo10.mp4,1,11,208,6.50,7.35,8.24,6.42,6.86
2026-04-10 16:58:32,ejemplo10.mp4,2,239,305,8.73,9.67,8.24,5.17,8.38
2026-04-10 16:58:37,ejemplo6.mp4,1,93,222,5.35,3.19,5.28,5.43,7.69
2026-04-10 16:58:37,ejemplo6.mp4,2,226,259,6.92,5.16,7.39,4.15,6.62
2026-04-10 16:58:46,ejemplo16.mp4,1,0,75,8.22,9.31,7.59,4.41,7.79
2026-04-10 16:58:46,ejemplo16.mp4,2,113,208,7.81,8.66,6.95,6.33,7.18
2026-04-10 16:58:46,ejemplo16.mp4,3,247,341,8.37,9.23,8.58,7.06,8.73
2026-04-10 16:58:49,ejemplo7.mp4,1,0,48,7.99,6.16,7.84,5.33,5.28
2026-04-10 16:58:49,ejemplo7.mp4,2,88,159,8.20,6.22,8.04,7.89,6.61
2026-04-10 16:58:49,ejemplo7.mp4,3,200,263,8.04,5.83,8.40,8.30,6.40
2026-04-10 16:58:49,ejemplo7.mp4,4,303,415,8.50,5.68,8.65,6.62,5.41
2026-04-10 16:58:50,ejemplo13.mp4,1,0,44,9.28,8.04,9.65,8.63,9.36
2026-04-10 16:58:50,ejemplo13.mp4,2,83,149,8.65,7.01,9.65,9.37,9.32
